Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,0-1h,0-1km;0.052931495;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;0.096062787;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;0.097057149;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,3-4h,0-1km;0.100714199;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,4-5h,0-1km;0.101017118;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,5-6h,0-1km;0.097952209;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,0-1km;0.094867311;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,0-1km;0.091762267;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,0-1km;0.088636972;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,9-10h,0-1km;0.085491292;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,10-11h,0-1km;0.082325108;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,11-12h,0-1km;0.079138309;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,>12h,0-1km;0.07753782;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,0-1h,1-2km;0.050042599;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,1-2km;0.107144691;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,1-2km;0.114052765;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,3-4h,1-2km;0.118722878;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,4-5h,1-2km;0.118871003;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,5-6h,1-2km;0.114495285;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;0.11011672;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;0.105735436;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;0.101351336;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,9-10h,1-2km;0.096964456;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,10-11h,1-2km;0.092574798;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,11-12h,1-2km;0.08818239;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,>12h,1-2km;0.085985228;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,0-1h,0-1km;3.980935812;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,1-2h,0-1km;7.614228725;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,2-3h,0-1km;11.36509132;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,3-4h,0-1km;15.53486824;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,4-5h,0-1km;19.74581337;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,5-6h,0-1km;24.13376999;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,6-7h,0-1km;28.52173042;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,7-8h,0-1km;32.90969467;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,8-9h,0-1km;37.29764557;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,9-10h,0-1km;41.68561554;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,10-11h,0-1km;46.07356644;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,11-12h,0-1km;50.46151352;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,>12h,0-1km;52.67656708;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,0-1h,1-2km;6.566217899;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,1-2h,1-2km;16.48072433;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,2-3h,1-2km;25.67976952;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,3-4h,1-2km;35.4047699;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,4-5h,1-2km;45.18490219;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,5-6h,1-2km;55.22599792;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,6-7h,1-2km;65.26708221;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,7-8h,1-2km;75.30818176;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,8-9h,1-2km;85.34928131;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,9-10h,1-2km;95.39037323;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,10-11h,1-2km;105.4314575;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,11-12h,1-2km;115.4725494;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,>12h,1-2km;120.5413284;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,0-1h,0-1km;2.00614E-05;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,1-2h,0-1km;3.83709E-05;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,2-3h,0-1km;5.72729E-05;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,3-4h,0-1km;7.82859E-05;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,4-5h,0-1km;9.95065E-05;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,5-6h,0-1km;0.000121619;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,6-7h,0-1km;0.000143732;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,7-8h,0-1km;0.000165844;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,8-9h,0-1km;0.000187957;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,9-10h,0-1km;0.000210069;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,10-11h,0-1km;0.000232182;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,11-12h,0-1km;0.000254294;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,>12h,0-1km;0.000265457;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,0-1h,1-2km;3.30896E-05;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,1-2h,1-2km;8.30525E-05;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,2-3h,1-2km;0.00012941;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,3-4h,1-2km;0.000178418;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,4-5h,1-2km;0.000227703;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,5-6h,1-2km;0.000278304;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,6-7h,1-2km;0.000328905;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,7-8h,1-2km;0.000379506;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,8-9h,1-2km;0.000430107;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,9-10h,1-2km;0.000480707;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,10-11h,1-2km;0.000531308;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,11-12h,1-2km;0.000581909;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;SO2;Urban;TØ,>12h,1-2km;0.000607452;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,0-1h,0-1km;0.000508875;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,1-2h,0-1km;0.000913488;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,2-3h,0-1km;0.001015486;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,3-4h,0-1km;0.001143365;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,4-5h,0-1km;0.00124901;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,5-6h,0-1km;0.001337459;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,6-7h,0-1km;0.001429443;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,7-8h,0-1km;0.001525172;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,8-9h,0-1km;0.001624874;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,9-10h,0-1km;0.001728793;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,10-11h,0-1km;0.001837193;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,11-12h,0-1km;0.001950358;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,>12h,0-1km;0.002008661;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,0-1h,1-2km;0.000806382;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,1-2h,1-2km;0.001888719;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,2-3h,1-2km;0.002258836;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,3-4h,1-2km;0.00256095;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,4-5h,1-2km;0.002794958;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,5-6h,1-2km;0.002966752;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,6-7h,1-2km;0.003141392;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,7-8h,1-2km;0.003318708;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,8-9h,1-2km;0.003498475;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,9-10h,1-2km;0.003680401;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,10-11h,1-2km;0.003864118;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,11-12h,1-2km;0.004049157;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;PM2.5;Urban;TØ,>12h,1-2km;0.004141983;;;;;
